heuristic,map_id,start_pos,end_pos,path_length,total_cost,execution_time,path_found,nodes_explored,heuristic_calls
Chebyshev,703381,"(238, 229)","(166, 391)",210,468.7571127956369,0.5911703109741211,True,26602,27128
Euclidea,703428,"(176, 319)","(131, 405)",296,1123.0390365754572,0.6060659885406494,True,26250,26474
Manhattan,703428,"(176, 319)","(131, 405)",296,1123.0390365754572,0.7942936420440674,True,36299,36667
Chebyshev,703428,"(176, 319)","(131, 405)",296,1123.0390365754572,0.5640735626220703,True,26270,26486
Euclidea,703428,"(195, 245)","(100, 153)",193,649.6186848483356,0.46173620223999023,True,19912,20196
Manhattan,703428,"(195, 245)","(100, 153)",193,649.6186848483356,0.5537300109863281,True,25308,25668
Chebyshev,703428,"(195, 245)","(100, 153)",193,649.6186848483358,0.4322354793548584,True,19907,20201
Euclidea,703428,"(196, 358)","(192, 236)",168,582.2190977818267,0.4589972496032715,True,19537,19808
Manhattan,703428,"(196, 358)","(192, 236)",168,582.2190977818267,0.5990149974822998,True,27165,27629
Chebyshev,703428,"(196, 358)","(192, 236)",168,582.2190977818267,0.4309267997741699,True,19952,20225
Euclidea,703428,"(144, 83)","(151, 278)",197,610.4934175203513,0.31947875022888184,True,13947,14333
Manhattan,703428,"(144, 83)","(151, 278)",197,610.4934175203513,0.2768371105194092,True,13297,13780
Chebyshev,703428,"(144, 83)","(151, 278)",197,610.4934175203513,0.3047506809234619,True,14508,14884
Euclidea,703428,"(227, 378)","(125, 275)",183,502.4719403950225,0.08945989608764648,True,2884,3107
Manhattan,703428,"(227, 378)","(125, 275)",183,502.895000900662,0.07341599464416504,True,3452,3675
Chebyshev,703428,"(227, 378)","(125, 275)",183,502.4719403950225,0.06382322311401367,True,3022,3592
Euclidea,703428,"(145, 385)","(226, 411)",99,286.16661880539465,0.1602647304534912,True,6777,7047
Manhattan,703428,"(145, 385)","(226, 411)",99,286.16661880539465,0.1806201934814453,True,8391,8688
Chebyshev,703428,"(145, 385)","(226, 411)",99,286.16661880539465,0.15784764289855957,True,7267,7575
Euclidea,703428,"(116, 135)","(172, 347)",282,871.2668637303636,0.6522212028503418,True,28461,28685
Manhattan,703428,"(116, 135)","(172, 347)",282,871.2668637303635,0.7262897491455078,True,32489,32852
Chebyshev,703428,"(116, 135)","(172, 347)",282,871.2668637303636,0.6012172698974609,True,27904,28093
Euclidea,703428,"(131, 431)","(166, 411)",79,199.40701106496724,0.0755462646484375,True,3053,3283
Manhattan,703428,"(131, 431)","(166, 411)",79,200.0858425936213,0.0761270523071289,True,3425,3638
Chebyshev,703428,"(131, 431)","(166, 411)",79,199.40701106496724,0.0683584213256836,True,3178,3392
Euclidea,703428,"(140, 337)","(115, 475)",173,945.8086240612994,0.7926547527313232,True,34742,34895
Manhattan,703428,"(140, 337)","(115, 475)",173,945.8086240612994,0.9171903133392334,True,42078,42244
Chebyshev,703428,"(140, 337)","(115, 475)",173,945.8086240612994,0.7432010173797607,True,34752,34914
Euclidea,703428,"(89, 299)","(166, 281)",93,214.5713502783666,0.1759779453277588,True,7145,7434
Manhattan,703428,"(89, 299)","(166, 281)",93,215.47497786805638,0.19300198554992676,True,8627,8881
Chebyshev,703428,"(89, 299)","(166, 281)",93,214.5713502783666,0.17299938201904297,True,7705,8013
Euclidea,703428,"(211, 415)","(143, 36)",450,1233.5438700268173,0.8869447708129883,True,38602,38766
Manhattan,703428,"(211, 415)","(143, 36)",450,1233.5438700268173,1.02705717086792,True,47105,47464
Chebyshev,703428,"(211, 415)","(143, 36)",450,1233.5438700268173,0.9645354747772217,True,43392,43561
Euclidea,703428,"(164, 85)","(90, 72)",101,362.4629883539821,0.07010769844055176,True,2835,2931
Manhattan,703428,"(164, 85)","(90, 72)",101,362.4629883539821,0.062418460845947266,True,2893,2988
Chebyshev,703428,"(164, 85)","(90, 72)",101,362.4629883539821,0.06318449974060059,True,2953,3057
Euclidea,703428,"(160, 180)","(89, 190)",170,694.7643370196129,0.5748612880706787,True,23970,24392
Manhattan,703428,"(160, 180)","(89, 190)",170,694.7643370196129,0.6406698226928711,True,29227,29644
Chebyshev,703428,"(160, 180)","(89, 190)",170,694.7643370196129,0.5212881565093994,True,24259,24634
